# Realisierte Erzeugung nach Energietraeger, Region DE
# Tag (Ortszeit Europe/Berlin): 2026-08-19
# Abgerufen: 2026-08-30T00:11:34+02:00
# Quelle: SMARD, Bundesnetzagentur -- https://www.smard.de/
# Lizenz: CC BY 4.0
# Namensnennung: Bundesnetzagentur | SMARD.de
#
# Einheit: MWh je Intervall. Die SMARD-Reihen liefern eine Energiemenge
# je Intervall, keine mittlere Leistung. Nachgewiesen aus den Daten:
# der Stundenwert ist die Summe der vier Viertelstundenwerte.
# Leistung in MW = Wert / Intervalllaenge in h.
#
# Zahlformat: Diese Datei ist maschinenlesbar und benutzt den PUNKT als
# Dezimaltrennzeichen. Die Anzeige auf der Webseite ist deutsch
# formatiert (Tausenderpunkt, Dezimalkomma). Das ist kein Fehler,
# sondern derselbe Wert in zwei Schreibweisen.
#
# Rechenweg: Tagessumme = Summe aller Viertelstundenwerte des lokalen Kalendertags.
# Rechenweg: Kernenergie (Filter 1224) ist nicht enthalten: die Reihe endet am
# Rechenweg: 15.04.2023 23:45; fuer spaetere Zeitraeume liefert SMARD HTTP 404.
#
filter_id,energietraeger,mwh,punkte
4067,Wind Onshore,270954.73,96
4068,Photovoltaik,244707.88,96
1223,Braunkohle,153251.98,96
4071,Erdgas,147769.2,96
4069,Steinkohle,91325.14,96
4066,Biomasse,90264.01,96
1225,Wind Offshore,67602.12,96
1227,Sonstige Konventionelle,41382.75,96
1226,Wasserkraft,39058.39,96
4070,Pumpspeicher,26178.72,96
1228,Sonstige Erneuerbare,2154.12,96
